strain	condition	trait	phenotype
CB4856	growth	mean.res.meanTOF	12.63294018778719
CB4856	growth	mean.res.mean.normEXT	0.009601131294980601
N2	growth	mean.res.meanTOF	9.985571537707662
N2	growth	mean.res.mean.normEXT	0.00534259669528341
QX115	growth	mean.res.meanTOF	-145.01308039553638
QX115	growth	mean.res.mean.normEXT	-0.05620065755502705
QX123	growth	mean.res.meanTOF	11.944594480814985
QX123	growth	mean.res.mean.normEXT	0.022257268633104198
QX134	growth	mean.res.meanTOF	-18.3257187078246
QX134	growth	mean.res.mean.normEXT	-0.05037109293239885
QX144	growth	mean.res.meanTOF	-8.416538247855254
QX144	growth	mean.res.mean.normEXT	0.005152661448945752
QX160	growth	mean.res.meanTOF	16.46706799717259
QX160	growth	mean.res.mean.normEXT	0.01133748658073292
QX161	growth	mean.res.meanTOF	-87.74005878026782
QX161	growth	mean.res.mean.normEXT	-0.040594320649748536
QX175	growth	mean.res.meanTOF	-118.24104756725356
QX175	growth	mean.res.mean.normEXT	-0.09127420073844218
QX226	growth	mean.res.meanTOF	-4.967713685613574
QX226	growth	mean.res.mean.normEXT	0.0036203604959797243
QX227	growth	mean.res.meanTOF	18.869947206684166
QX227	growth	mean.res.mean.normEXT	-0.01383435033706676
QX231	growth	mean.res.meanTOF	-15.506263875961789
QX231	growth	mean.res.mean.normEXT	-0.02365787857171989
QX240	growth	mean.res.meanTOF	19.889566241450023
QX240	growth	mean.res.mean.normEXT	0.01206343777985261
QX241	growth	mean.res.meanTOF	2.738621096647595
QX241	growth	mean.res.mean.normEXT	0.028700054001327018
QX242	growth	mean.res.meanTOF	-19.30466903969414
QX242	growth	mean.res.mean.normEXT	-4.7443433284098826e-4
QX243	growth	mean.res.meanTOF	-2.3128628293297875
QX243	growth	mean.res.mean.normEXT	-0.023408598335843817
QX244	growth	mean.res.meanTOF	6.607331038490546
QX244	growth	mean.res.mean.normEXT	0.002072348330874348
QX245	growth	mean.res.meanTOF	9.046518220597495
QX245	growth	mean.res.mean.normEXT	0.0033416017050882565
QX248	growth	mean.res.meanTOF	6.343687350771431
QX248	growth	mean.res.mean.normEXT	4.7077907517101167e-4
QX250	growth	mean.res.meanTOF	8.695690387222514
QX250	growth	mean.res.mean.normEXT	-0.007567290342606859
QX252	growth	mean.res.meanTOF	-4.056616434393266
QX252	growth	mean.res.mean.normEXT	0.005072603618229504
QX253	growth	mean.res.meanTOF	-0.05756498037584429
QX253	growth	mean.res.mean.normEXT	-0.0017579819014708821
QX254	growth	mean.res.meanTOF	1.9666884385169434
QX254	growth	mean.res.mean.normEXT	0.010359738381900947
QX258	growth	mean.res.meanTOF	11.466255853785356
QX258	growth	mean.res.mean.normEXT	-0.003631652097418977
QX261	growth	mean.res.meanTOF	9.049074635414225
QX261	growth	mean.res.mean.normEXT	0.014637549195948299
QX263	growth	mean.res.meanTOF	16.949017652325782
QX263	growth	mean.res.mean.normEXT	0.0046973737141209485
QX264	growth	mean.res.meanTOF	-8.390003976716665
QX264	growth	mean.res.mean.normEXT	0.002647626072007845
QX265	growth	mean.res.meanTOF	-8.068856954810826
QX265	growth	mean.res.mean.normEXT	0.007446843246735768
QX266	growth	mean.res.meanTOF	4.792330198442624
QX266	growth	mean.res.mean.normEXT	-0.004869432223661539
QX267	growth	mean.res.meanTOF	11.521082555598586
QX267	growth	mean.res.mean.normEXT	-0.005464359613958744
QX268	growth	mean.res.meanTOF	-82.73356163986246
QX268	growth	mean.res.mean.normEXT	0.03984672304677235
QX269	growth	mean.res.meanTOF	15.776345703564994
QX269	growth	mean.res.mean.normEXT	-0.004562979664130374
QX270	growth	mean.res.meanTOF	5.130544587365215
QX270	growth	mean.res.mean.normEXT	0.011857665040599891
QX271	growth	mean.res.meanTOF	-6.356934960131272
QX271	growth	mean.res.mean.normEXT	-0.02699215828662251
QX272	growth	mean.res.meanTOF	20.001920277292502
QX272	growth	mean.res.mean.normEXT	-0.0037642457239287566
QX273	growth	mean.res.meanTOF	3.730637993304133
QX273	growth	mean.res.mean.normEXT	-0.009841123438137062
QX274	growth	mean.res.meanTOF	1.7432168319096761
QX274	growth	mean.res.mean.normEXT	0.0072930950004024605
QX275	growth	mean.res.meanTOF	5.8041554633018375
QX275	growth	mean.res.mean.normEXT	0.010145019144778543
QX276	growth	mean.res.meanTOF	-27.343909832673415
QX276	growth	mean.res.mean.normEXT	0.003928898301891461
QX277	growth	mean.res.meanTOF	-11.56548507590355
QX277	growth	mean.res.mean.normEXT	0.0019099802122423018
QX278	growth	mean.res.meanTOF	3.235168344728224
QX278	growth	mean.res.mean.normEXT	-0.012840314506531511
QX279	growth	mean.res.meanTOF	-1.6009872027925205
QX279	growth	mean.res.mean.normEXT	-0.005167003853351756
QX280	growth	mean.res.meanTOF	8.76751224900947
QX280	growth	mean.res.mean.normEXT	0.007308423453886035
QX281	growth	mean.res.meanTOF	-8.232748076732864
QX281	growth	mean.res.mean.normEXT	-0.018056407117964805
QX282	growth	mean.res.meanTOF	-19.017194979572924
QX282	growth	mean.res.mean.normEXT	0.004873603551360426
QX283	growth	mean.res.meanTOF	-11.410354328818299
QX283	growth	mean.res.mean.normEXT	0.003508938045640806
QX284	growth	mean.res.meanTOF	19.27626960239254
QX284	growth	mean.res.mean.normEXT	-0.0037258341500988664
QX285	growth	mean.res.meanTOF	-16.90687526458651
QX285	growth	mean.res.mean.normEXT	-0.03605143976388838
QX286	growth	mean.res.meanTOF	36.23275820681442
QX286	growth	mean.res.mean.normEXT	0.014355019772929007
QX287	growth	mean.res.meanTOF	-32.98401198399518
QX287	growth	mean.res.mean.normEXT	-0.02616683462385565
QX288	growth	mean.res.meanTOF	-14.72582338011132
QX288	growth	mean.res.mean.normEXT	-0.03349390800609274
QX289	growth	mean.res.meanTOF	-32.58958842557675
QX289	growth	mean.res.mean.normEXT	0.012344864199002758
QX290	growth	mean.res.meanTOF	-10.062625181100167
QX290	growth	mean.res.mean.normEXT	-0.020000859145234764
QX291	growth	mean.res.meanTOF	15.667936995712605
QX291	growth	mean.res.mean.normEXT	-0.006441295469725091
QX293	growth	mean.res.meanTOF	13.115505188365166
QX293	growth	mean.res.mean.normEXT	-0.015968381566716535
QX294	growth	mean.res.meanTOF	-17.590123743850423
QX294	growth	mean.res.mean.normEXT	0.01479740381006731
QX295	growth	mean.res.meanTOF	-148.35178998595796
QX295	growth	mean.res.mean.normEXT	-0.024322386844137775
QX296	growth	mean.res.meanTOF	-11.644137243539504
QX296	growth	mean.res.mean.normEXT	0.0028482290153495843
QX297	growth	mean.res.meanTOF	21.686992579498426
QX297	growth	mean.res.mean.normEXT	0.02027787620049286
QX298	growth	mean.res.meanTOF	12.40341707094724
QX298	growth	mean.res.mean.normEXT	-0.016454306896605635
QX299	growth	mean.res.meanTOF	4.001435684336344
QX299	growth	mean.res.mean.normEXT	-0.004374322581819037
QX300	growth	mean.res.meanTOF	-9.667012975439656
QX300	growth	mean.res.mean.normEXT	-0.006167867364814925
QX301	growth	mean.res.meanTOF	-18.76901025642325
QX301	growth	mean.res.mean.normEXT	0.03904032455615061
QX302	growth	mean.res.meanTOF	-13.095646226699335
QX302	growth	mean.res.mean.normEXT	0.01666363332188145
QX303	growth	mean.res.meanTOF	-133.63213100091056
QX303	growth	mean.res.mean.normEXT	-0.06076541390360911
QX304	growth	mean.res.meanTOF	1.4436053660283927
QX304	growth	mean.res.mean.normEXT	7.009509481250137e-4
QX305	growth	mean.res.meanTOF	-0.8198797246053877
QX305	growth	mean.res.mean.normEXT	0.009403103601520801
QX306	growth	mean.res.meanTOF	-27.917738034639115
QX306	growth	mean.res.mean.normEXT	0.01145454016279657
QX307	growth	mean.res.meanTOF	-1.1750858884136295
QX307	growth	mean.res.mean.normEXT	0.005189431661292465
QX309	growth	mean.res.meanTOF	15.599374867855678
QX309	growth	mean.res.mean.normEXT	0.007747419330723244
QX310	growth	mean.res.meanTOF	61.287090126280994
QX310	growth	mean.res.mean.normEXT	0.00335013048060859
QX311	growth	mean.res.meanTOF	-10.112928089475805
QX311	growth	mean.res.mean.normEXT	-0.008480780999277541
QX314	growth	mean.res.meanTOF	1.1247174671119955
QX314	growth	mean.res.mean.normEXT	0.014043446835468626
QX315	growth	mean.res.meanTOF	-16.278667765654244
QX315	growth	mean.res.mean.normEXT	-0.009145062133654132
QX316	growth	mean.res.meanTOF	-15.806328161325348
QX316	growth	mean.res.mean.normEXT	0.008268826695394846
QX318	growth	mean.res.meanTOF	-1.9472535068870922
QX318	growth	mean.res.mean.normEXT	0.0021686168976765693
QX319	growth	mean.res.meanTOF	0.7036883070888456
QX319	growth	mean.res.mean.normEXT	0.0070479943336533134
QX320	growth	mean.res.meanTOF	-1.917021111482418
QX320	growth	mean.res.mean.normEXT	0.002632580326337722
QX321	growth	mean.res.meanTOF	5.110978416085233
QX321	growth	mean.res.mean.normEXT	0.004783514778561371
QX322	growth	mean.res.meanTOF	-26.047151426417773
QX322	growth	mean.res.mean.normEXT	0.014481586171754785
QX323	growth	mean.res.meanTOF	-23.864144166875843
QX323	growth	mean.res.mean.normEXT	-0.017693159184167688
QX324	growth	mean.res.meanTOF	5.276829069844668
QX324	growth	mean.res.mean.normEXT	-0.0018398138486471814
QX325	growth	mean.res.meanTOF	10.687074572739878
QX325	growth	mean.res.mean.normEXT	-0.01333886039682881
QX326	growth	mean.res.meanTOF	11.854803286656976
QX326	growth	mean.res.mean.normEXT	-0.008297012362871775
QX327	growth	mean.res.meanTOF	-10.66036608445085
QX327	growth	mean.res.mean.normEXT	-0.011387163175438995
QX328	growth	mean.res.meanTOF	18.43169286017217
QX328	growth	mean.res.mean.normEXT	0.011980955182093743
QX329	growth	mean.res.meanTOF	26.978565124265227
QX329	growth	mean.res.mean.normEXT	-0.014106631230651132
QX330	growth	mean.res.meanTOF	12.214283805518527
QX330	growth	mean.res.mean.normEXT	-0.027080416810349346
QX331	growth	mean.res.meanTOF	14.218024805469078
QX331	growth	mean.res.mean.normEXT	-0.017002257476656065
QX332	growth	mean.res.meanTOF	6.999113138291866
QX332	growth	mean.res.mean.normEXT	0.017444703395652704
QX333	growth	mean.res.meanTOF	8.592630025888205
QX333	growth	mean.res.mean.normEXT	0.009068928622704293
QX334	growth	mean.res.meanTOF	2.2844701881774045
QX334	growth	mean.res.mean.normEXT	0.006996611707515202
QX335	growth	mean.res.meanTOF	11.460911012772007
QX335	growth	mean.res.mean.normEXT	-0.005324803709379687
QX336	growth	mean.res.meanTOF	-36.1933401404182
QX336	growth	mean.res.mean.normEXT	0.004846506031689204
QX337	growth	mean.res.meanTOF	-1.5459201635656277
QX337	growth	mean.res.mean.normEXT	0.00436620952643138
QX338	growth	mean.res.meanTOF	-30.88514933412984
QX338	growth	mean.res.mean.normEXT	0.01902241073179164
QX339	growth	mean.res.meanTOF	-7.425021543495634
QX339	growth	mean.res.mean.normEXT	-0.006715592489351692
QX340	growth	mean.res.meanTOF	-23.212116567918255
QX340	growth	mean.res.mean.normEXT	-0.01821154802805385
QX341	growth	mean.res.meanTOF	4.80850456803432
QX341	growth	mean.res.mean.normEXT	0.011191180556030625
QX343	growth	mean.res.meanTOF	-0.4521374391315064
QX343	growth	mean.res.mean.normEXT	0.010338758242167257
QX345	growth	mean.res.meanTOF	-8.49212981615497
QX345	growth	mean.res.mean.normEXT	-0.0068553896427551745
QX346	growth	mean.res.meanTOF	-26.200505336899422
QX346	growth	mean.res.mean.normEXT	3.41332380909674e-4
QX347	growth	mean.res.meanTOF	-18.472190007019584
QX347	growth	mean.res.mean.normEXT	-0.004321463046500834
QX348	growth	mean.res.meanTOF	19.288303461933108
QX348	growth	mean.res.mean.normEXT	0.001834436040771792
QX349	growth	mean.res.meanTOF	24.505624597454656
QX349	growth	mean.res.mean.normEXT	0.03573500996786338
QX350	growth	mean.res.meanTOF	-8.388241801721726
QX350	growth	mean.res.mean.normEXT	-0.0021353984070672763
QX352	growth	mean.res.meanTOF	-31.297013832949972
QX352	growth	mean.res.mean.normEXT	-0.028310472751674608
QX353	growth	mean.res.meanTOF	5.01404186112618
QX353	growth	mean.res.mean.normEXT	-0.009859113077321655
QX354	growth	mean.res.meanTOF	-12.9769940082219
QX354	growth	mean.res.mean.normEXT	-0.004884941688219913
QX355	growth	mean.res.meanTOF	0.034728432391411095
QX355	growth	mean.res.mean.normEXT	-8.003366514370907e-4
QX356	growth	mean.res.meanTOF	15.643788691819267
QX356	growth	mean.res.mean.normEXT	-0.016796737909812703
QX357	growth	mean.res.meanTOF	8.34047973122976
QX357	growth	mean.res.mean.normEXT	-0.026692729727738077
QX358	growth	mean.res.meanTOF	4.147283222455828
QX358	growth	mean.res.mean.normEXT	-0.00796015061190908
QX359	growth	mean.res.meanTOF	14.697403965847416
QX359	growth	mean.res.mean.normEXT	0.018600884010879365
QX360	growth	mean.res.meanTOF	11.787817540490002
QX360	growth	mean.res.mean.normEXT	0.01567237456379202
QX361	growth	mean.res.meanTOF	1.6351920820834882
QX361	growth	mean.res.mean.normEXT	0.004916554773535494
QX362	growth	mean.res.meanTOF	-24.13826284103778
QX362	growth	mean.res.mean.normEXT	0.03270194720552948
QX363	growth	mean.res.meanTOF	14.362855956175618
QX363	growth	mean.res.mean.normEXT	0.03660748182716775
QX364	growth	mean.res.meanTOF	-0.39145294298047634
QX364	growth	mean.res.mean.normEXT	-0.006635854484466885
QX365	growth	mean.res.meanTOF	-3.7367143733689776
QX365	growth	mean.res.mean.normEXT	0.0020574752979074873
QX366	growth	mean.res.meanTOF	2.7893910411759
QX366	growth	mean.res.mean.normEXT	3.952334414481495e-4
QX367	growth	mean.res.meanTOF	-31.726523500050927
QX367	growth	mean.res.mean.normEXT	-0.002035827409794678
QX368	growth	mean.res.meanTOF	17.196514536585724
QX368	growth	mean.res.mean.normEXT	0.008334445679451238
QX369	growth	mean.res.meanTOF	15.134259848651167
QX369	growth	mean.res.mean.normEXT	0.0057620038626090934
QX370	growth	mean.res.meanTOF	-18.54284695569998
QX370	growth	mean.res.mean.normEXT	-0.01222140540045136
QX371	growth	mean.res.meanTOF	22.280590638519307
QX371	growth	mean.res.mean.normEXT	0.010285448222061011
QX372	growth	mean.res.meanTOF	-0.8174067430962564
QX372	growth	mean.res.mean.normEXT	-0.0028962756466871355
QX373	growth	mean.res.meanTOF	7.650375060858513
QX373	growth	mean.res.mean.normEXT	-2.961526104521352e-5
QX374	growth	mean.res.meanTOF	-9.907052549062096
QX374	growth	mean.res.mean.normEXT	-0.012727636622718988
QX375	growth	mean.res.meanTOF	-2.8871386485222383
QX375	growth	mean.res.mean.normEXT	0.017717976945259516
QX376	growth	mean.res.meanTOF	11.311916169574765
QX376	growth	mean.res.mean.normEXT	-0.028101025208852343
QX377	growth	mean.res.meanTOF	5.8682310276471314
QX377	growth	mean.res.mean.normEXT	0.020562086590199757
QX378	growth	mean.res.meanTOF	-13.96733218786743
QX378	growth	mean.res.mean.normEXT	0.027574354698081286
QX379	growth	mean.res.meanTOF	57.60231977968523
QX379	growth	mean.res.mean.normEXT	-0.02445742550885214
QX380	growth	mean.res.meanTOF	1.2492917045169893
QX380	growth	mean.res.mean.normEXT	-0.008968412989178621
QX381	growth	mean.res.meanTOF	14.600589138780126
QX381	growth	mean.res.mean.normEXT	8.007689117772977e-5
QX382	growth	mean.res.meanTOF	10.163045602844672
QX382	growth	mean.res.mean.normEXT	0.02156490992688452
QX383	growth	mean.res.meanTOF	11.253924644778
QX383	growth	mean.res.mean.normEXT	-0.003000052054231358
QX384	growth	mean.res.meanTOF	-15.015726910933983
QX384	growth	mean.res.mean.normEXT	-0.011266291558501786
QX385	growth	mean.res.meanTOF	11.807327141486235
QX385	growth	mean.res.mean.normEXT	0.017989208405871263
QX386	growth	mean.res.meanTOF	16.893777245884316
QX386	growth	mean.res.mean.normEXT	0.005476232386513421
QX387	growth	mean.res.meanTOF	15.356152019972756
QX387	growth	mean.res.mean.normEXT	1.1423056689318037e-4
QX390	growth	mean.res.meanTOF	26.993995371752625
QX390	growth	mean.res.mean.normEXT	4.21424547835021e-4
QX391	growth	mean.res.meanTOF	-3.331558570389347
QX391	growth	mean.res.mean.normEXT	0.0025329060400656224
QX392	growth	mean.res.meanTOF	8.837656811918121
QX392	growth	mean.res.mean.normEXT	0.00804290377309428
QX393	growth	mean.res.meanTOF	-3.486004740806604
QX393	growth	mean.res.mean.normEXT	0.012820632828005414
QX394	growth	mean.res.meanTOF	-6.374477641853283
QX394	growth	mean.res.mean.normEXT	-0.007274907540464644
QX395	growth	mean.res.meanTOF	3.9119439427771816
QX395	growth	mean.res.mean.normEXT	-0.008959753500227787
QX396	growth	mean.res.meanTOF	15.48028239025106
QX396	growth	mean.res.mean.normEXT	0.006083662212191176
QX397	growth	mean.res.meanTOF	-16.324218214437646
QX397	growth	mean.res.mean.normEXT	2.394781414594478e-4
QX398	growth	mean.res.meanTOF	-10.673248347273178
QX398	growth	mean.res.mean.normEXT	-0.0060670769810973815
QX399	growth	mean.res.meanTOF	23.163222054579297
QX399	growth	mean.res.mean.normEXT	-0.014412161813596645
QX400	growth	mean.res.meanTOF	3.899328822356083
QX400	growth	mean.res.mean.normEXT	-0.006141534978226453
QX401	growth	mean.res.meanTOF	2.176960556021268
QX401	growth	mean.res.mean.normEXT	0.010786420299320741
QX402	growth	mean.res.meanTOF	9.412780068772715
